"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","13.8542953523238","13.1656455862978","","","","","","","","","","","13.8919889679944","14.7416558665612","13.680911351864","12.1815712309271","","","","",
"Belgium","BEL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.485998682518","25.8303603183071","26.3474985694921","26.9469093725265","26.7973925790047","27.0797995523232","26.6400264270375","25.5432259490572","24.9491838456816","25.3762502058848","25.3533123068902","25.16964777977","24.7109692859992","25.0875048966873","23.6206032953047","24.3339299727061","24.7113012893745","25.7100062683855","26.1699424835309","26.2325494481226","24.622741909076","","",
"Benin","BEN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6872210795175","14.4125492655237","14.2713487770729","14.6358968752407","13.8092829901334","14.2131235196549","15.6943939715484","16.1156676470993","14.9940988127536","15.5335923417241","14.8232709484433","14.4134995448211","15.3852955479906","","","","",
"Burkina Faso","BFA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8661580190309","11.0910164006408","12.6990094553648","11.7528155851399","12.0636543814706","12.6856958251573","11.8643272249996","12.515250219583","12.7204264979693","13.7468327114361","15.6260996691914","16.8171059045135","15.3716996477856","15.0749297615291","15.5048305340623","",
"Bangladesh","BGD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823","6.69138419067813","6.96521390375867","7.04644841818552","7.13567003946154","7.04330405780911","6.91726266856821","7.65602988282474","7.49811626276927","7.83468474946733","8.68592470557816","9.02456268993842","8.96241331564248","8.6353777373447","8.49834938885826","","",
"Bulgaria","BGR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8331284450966","22.3338246131172","16.9033864541833","15.2137838742054","21.2389649923896","17.8154425183001","16.6424886138886","14.9428481708191","16.5758037002733","17.0503506932716","17.1655492197525","17.1988622996966","15.3350427481222","19.8375775746823","21.1055495595796","20.3401905561509","21.0046447877907","22.7011882229661","22.1789009551115","19.033470848479","18.4509141614037","17.7392375511688","18.9768227508471","19.8204147146549","19.5537217470664","20.1605230623009","","",
"Bahrain","BHR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18737424547284","5.04119375468111","5.39072995969548","5.34956272694727","5.1734018738224","4.79676297157238","5.04293270465644","5.09780902702597","5.66427250440841","5.01305503165515","3.73277443448614","4.10363792390765","3.56463389484186","3.30681072610287","4.21683836344847","1.16184537753338","1.1661564552523","1.14509796242081","1.23581686284367","1.3631667858969","1.17622843572582","1.11415427079482","","1.06989285542061","","","","",
"Bahamas, The","BHS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","14.5029065434491","16.7457305502846","16.3032539416303","17.2403052484037","15.9046283309958","16.2542047092744","15.2658347722552","14.9629296787239","14.602173151069","13.5082050307293","14.196675900277","13.2771544755279","13.5821094317279","13.7027300303337","","14.0849568827851","13.1743958197257","13.8629185091598","13.6379999742861","15.4326149887424","15.3945666235446","16.7167842896594","17.3461650627005","17.0490440565254","13.2684581845346","12.7288679382029","13.1771044782268","13.6302475270057","12.5846849861992","11.4864107424034","11.8558413726126","12.0343007941601","12.7661518186214","14.3573330681928","14.4984202420581","15.4710197647629","14.3628772378517","13.8825031605563","16.4373130544994","11.9084464344014","11.3844921889634","11.4862409856323","13.3491814946619","","",
"Bosnia and Herzegovina","BIH","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8822219121406","21.6867285604694","21.3974496867264","20.3021131798131","18.9462862896253","19.685676092678","20.3056652821355","20.4775397851709","19.751544642443","19.7779015559579","19.9364771928983","19.9550942314601","",
"Belarus","BLR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00204434829637642","0.00266309422319653","0.00247499044578828","0.00198877124542637","0.00187997552116564","0.00207345853025692","0.00171123265017102","0.00166724778463851","0.00166247345026167","0.00157546642442876","0.00142010383230738","0.00176881219095961","0.00183713469008917","0.00201496562779039","0.00222230966228065","0.00237266987288672","0.00253533892055523","0.00192596284110703","0.0016321438373621","0.00145090725642403","0.00146629750334495","0.00133549628478795","0.00126977245264198","0.00141730944654204","13.8799803985098","",
"Belize","BLZ","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4061251664447","20.7109742461983","19.9355857170947","19.5219057681118","19.9161180152934","18.7529307879312","19.5388470990381","19.655231464815","19.6984016298002","17.4015109336991","17.8275942197101","18.7020149780825","19.299784778723","19.1743210557668","19.6634102049874","21.3039127596188","21.7841115443236","22.9225242051324","21.6991116961427","22.4811227135348","23.5966520829071","22.5706749046201","22.4578856854622","23.3157114724471","23.3904763846918","","","",
"Bermuda","BMU","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","8.25811294089406","8.01995435078253","7.94905263902504","7.28055157095923","7.09474294200697","7.23622455957132","7.93272969948769","8.89978861639267","9.51634551726199","10.0454683908601","9.72232946393514","12.2938524583722","12.620346055287","13.5465290639342","12.0397851365894","12.330802904887","11.7825459584955","13.184104859735","12.9730002345066","15.0163488230343","16.2151641869683","16.8161682173735","16.9648957779373","","","","","","","","","","",
"Brazil","BRA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","12.1133874132003","12.2289274731164","11.8715410084698","12.5364620033176","10.3084325814898","10.5676286414884","10.8388842849553","10.0974709555919","9.83010507720893","9.93085106215959","12.0091242848293","9.52972648557028","9.73379539867745","10.5001503202562","11.6428205077901","","","10.1955069326502","11.9522881333388","13.1676716837768","13.7748451715991","14.5597576020639","15.7200714371672","15.2443782233168","15.7527804880155","16.5289743327422","15.3813110875926","15.7755334686389","15.4928141750458","14.4175330681699","13.623447382748","14.2201231457951","13.6514575347955","13.4416902618947","12.7616891016083","12.814636410182","","",
"Barbados","BRB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7396827335603","25.2621395137081","26.2010494444872","25.1114014425658","26.8219713843603","26.4095556291103","24.8899570821258","25.0915188663387","25.9210272586839","24.2139314699282","23.3821344390244","","","","",
"Brunei Darussalam","BRN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","5.42969545157606","6.27833472253946","7.20804942537648","6.37929185166339","6.75370239737532","","5.97022752058754","5.19127712718609","4.41394270965256","4.95247801880619","5.04877265136773","6.23357039072189","5.92463011173419","6.61170560046873","7.53024467648853","6.53889839316487","8.01373770379845","7.01519789586183","10.0178503287254","8.52733957641592","9.24916629341285","9.36550782893757","7.68269685762774","8.34657789065903","9.03099068218882","7.5194672695063","8.41593233961713","9.23552702504043","13.1432965226147","13.5075777539729","14.7041481596257","14.3778834457536","13.3368926386372","13.7723106718347","13.1638692853116","",
"Botswana","BWA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5016129375315","25.557193488693","27.8455400724745","23.6847992198649","19.9167439175835","16.7657958548749","14.9371078939367","","","","","","","","","","26.9325573337029","25.7128158313548","27.3742013503065","27.2860533541824","23.6044320835328","23.1680036502376","26.6244546740795","25.6098926611863","25.7912820537282","","","",
"Central African Republic","CAF","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.05575574315652","9.17086832078995","10.0720583861503","9.21758623692412","","","","","","",
"Canada","CAN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.163120475269","14.4495626046653","14.3571609133277","13.696871373931","13.1145132342082","13.3295053035503","13.9240137079168","14.6159650050559","14.7191652574696","14.7505714536027","14.9073822094015","14.2315903919755","13.425258017978","13.2757745048248","13.3903204530123","13.3421499081176","13.3872847399858","13.3694135232077","12.4210262668013","12.3355440500458","11.760444874682","11.8315383389777","11.6925644390413","11.6523990109258","11.8175074894724","12.0105145874545","11.77089128522","",
"Central Europe and the Baltics","CEB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8848254975484","19.7398957306571","19.0225713981964","18.5008037507114","18.4849394929949","17.6920373558725","17.1850686561306","16.4817934712591","16.6405446480902","16.9115219132919","16.4383612054359","16.7333970457999","16.8659366803365","17.4939994130152","17.470659467955","15.9613141167775","16.2302901280451","16.2954710649114","16.3385206858761","16.2419967261637","16.3188184500641","16.5057457857539","","",
"Switzerland","CHE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","7.50969301365321","7.52548118423455","7.8273308952039","7.86313760189211","8.02519384878365","7.90091505221303","8.55708600390149","8.20425458347906","8.58730666377377","8.05824778709804","8.09388438631098","7.85051962641804","8.01418701920018","7.38824786403865","7.92278478504873","8.00403754948231","8.44204001081226","8.41819214196529","9.39210065877453","9.03778721419264","10.204619412967","9.21083079612436","9.19319936003021","9.1907431188353","9.22392406282735","9.4293270049734","9.52176174243387","9.35967391288423","9.9129224515215","9.68153736880214","9.71922545846534","9.65173890922783","9.52037152924412","9.60281589353082","9.40176820614631","9.84947244206299","9.76821094216059","",
"Channel Islands","CHI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","16.2232711468311","17.4205000961031","16.337951930124","20.6011544042575","18.3977542528978","18.7557734246353","18.6808148161421","17.9453589017587","19.0466235497464","20.1205861545475","19.7534985647664","18.8434547124414","20.028187295002","18.1312115808601","17.9795039650436","16.8083162620642","14.3740317441218","13.9403644948977","13.3073843505649","15.2279630659371","15.7428897446275","16.3145899577863","15.6247442076011","15.1007539454673","16.17060718867","15.9253540500661","15.8520768946625","15.179757009668","16.1526928162893","16.0335518222945","16.2016951438812","15.9489633682809","16.4022315155121","18.0251236302119","19.4919068546328","20.2569326180008","18.7118596070048","14.5230954986113","17.3565143958498","18.858990847612","18.9948668666767","17.3869727033446","16.9409832351949","17.5445451145504","17.6295480862883","",
"China","CHN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.56924385784706","9.05725398274024","9.76634573013884","10.0928610003145","10.2927961014344","10.1895230968606","10.2841225780531","","9.86976268505996","9.6724425423315","","","",
"Cote d'Ivoire","CIV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0109074301712","","","","","18.8190745863034","","","","","","14.3103033452787","14.633696183801","13.3776188984917","14.1947936415008","13.8840880605387","14.6578586724321","15.0584167493245","15.053502752571","14.5990317093383","14.3255146586256","10.9316199099345","14.2574324843136","14.5426974485359","13.9736401625078","","","",
"Cameroon","CMR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.29067611358097","4.38908041173521","2.73389078403244","3.40760166547893","2.65117796862662","4.93161586838294","4.76004711918406","4.05375005067188","5.34976331444522","3.45979673835024","0.779702331211264","2.75245906279561","4.23547372723084","4.04019790111332","5.27673897174681","5.92061129810681","6.90244151084524","7.15158719491105","9.23881911056471","8.05880585287372","8.77459116100082","","","","","","","",
"Congo, Rep.","COG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","16.792270531401","15.4718543046358","24.9964513839603","20.3771289537713","","","","","25.4300776914539","","","","","","","","","","","","14.6960329726945","11.735297987107","8.27598843601124","11.2431357697406","11.1310302377472","7.61820461754075","10.9025302147639","7.77133788725592","","9.21564092173998","8.3614492307473","8.70277394689438","7.84924768592719","6.24311241343009","5.79082768515312","6.6025974777004","5.9461119598443","8.40495132713766","7.59597708310108","8.85522144124649","9.42870346848912","","","","","",
